unique sample ID or species Name,Which image file (or paper for modern),which object number,Which slide in the powerpoint,KPg. 66.04; Modern=0,type name
SampleID,Image,ObjNum,SlideNum,Age,Type
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00004_edf,4,98,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00005_edf,5,84,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00006_edf,6,84,28.5982,Shallow Ridged Wide Crown
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00007_edf,7,84,28.5982,Square Kite with Nodules
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00008_edf,8,84,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00009_edf,9,99,28.5982,NA
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00010.5_edf,10.5,99,28.5982,GenGeo
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00010_edf,10,99,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00011_edf,11,99,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00012_edf,12,86,28.5982,Raised Dimple
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00013_edf,13,100,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00014_edf,14,86,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00015_edf,15,86,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00016_edf,16,87,28.5982,Sharp Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00017_edf,17,87,28.5982,Bilateral Fan
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00018_edf,18,101,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00020_edf,20,87,28.5982,Stretched Branching Crown
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00021_edf,21,88,28.5982,Many Celled
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00022_edf,22,88,28.5982,Shallow Ridged Wide Crown
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00023_edf,23,88,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00024_edf,24,88,28.5982,Trident
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00025_edf,25,89,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00026_edf,26,89,28.5982,Central Troughed Petal
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00027_edf,27,103,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00028_edf,28,89,28.5982,Bilateral Single Ridged
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00029_edf,29,104,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00030_edf,30,104,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00031_edf,31,90,28.5982,Bilateral Fan
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00032_edf,32,90,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00033_edf,33,91,28.5982,Four Ridged Linear Fan
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00034_edf,34,91,28.5982,Bilateral Fan
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00035_edf,35,91,28.5982,Stretched Minnie Indented Shell
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00036_edf,36,91,28.5982,Asymmetrical Kite with Oval Center
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00037_edf,37,92,28.5982,Branching and Flared Chunk
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00038_edf,38,92,28.5982,Bilateral Fan
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00039_edf,39,92,28.5982,Sharp Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00040_edf,40,92,28.5982,Square Kite with Nodules
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00041_edf,41,93,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00042_edf,42,107,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00043_edf,43,93,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00044_edf,44,93,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00045_edf,45,94,28.5982,Llama
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00046_edf,46,94,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00047_edf,47,94,28.5982,Sharp Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00048_edf,48,94,28.5982,Many Celled
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00049_edf,49,109,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00050_edf,50,95,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00051_edf,51,95,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00052_edf,52,95,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00053_edf,53,110,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00054_edf,54,96,28.5982,Raised Dimple
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00055_edf,55,110,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00056_edf,56,96,28.5982,Single Dimpled Pentagon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00057_edf,57,111,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00058_edf,58,111,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00059_edf,59,111,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00060_edf,60,97,28.5982,Trident with Pointed Base
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00061_edf,61,98,28.5982,Branching Fragment
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00062_edf,62,98,28.5982,Branching Fragment
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00063_edf,63,98,28.5982,Crinkle Tops
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00064_edf,64,112,28.5982,GenLin
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00065_edf,65,99,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00066_edf,66,99,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00067_edf,67,99,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00068_edf,68,99,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00069_edf,69,100,28.5982,Generic Kite
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00070_edf,70,100,28.5982,Trident
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00071_edf,71,100,28.5982,Raised Dimple
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00072_edf,72,114,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00073_edf,73,115,28.5982,z
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00074_edf,74,101,28.5982,Asymmetrical Kite with Oval Center
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00075_edf,75,101,28.5982,Square Kite with Nodules
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00076_edf,76,101,28.5982,Minnie Indented Shell
ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00077_edf,77,101,28.5982,Generic Single Dimpled Complex Polygon
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00001_edf,1,102,29.2682,Sharp Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00002_edf,2,102,29.2682,Generic Single Dimpled Complex Polygon
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00003_edf,3,102,29.2682,Five Thin Ridged Fan
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00004_edf,4,102,29.2682,Sharp Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00005_edf,5,103,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00006_edf,6,103,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00007_edf,7,103,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00008_edf,8,103,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00009_edf,9,118,29.2682,z
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00010_edf,10,104,29.2682,Trident
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00011_edf,11,118,29.2682,z
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00012_edf,12,104,29.2682,Generic Single Dimpled Complex Polygon
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00013_edf,13,105,29.2682,Sharp Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00014_edf,14,105,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00015_edf,15,105,29.2682,Asymmetrical Kite with Oval Center
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00016_edf,16,105,29.2682,Trident
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00017_edf,17,106,29.2682,Generic Single Dimpled Complex Polygon
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00018_edf,18,106,29.2682,Asymmetrical Kite with Oval Center
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00019_edf,19,106,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00020_edf,20,120,29.2682,GenLin
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00021_edf,21,121,29.2682,GenLin
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00022_edf,22,121,29.2682,z
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00023_edf,23,107,29.2682,Branching Fragment
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00024_edf,24,107,29.2682,Asymmetrical Kite with Oval Center
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00025_edf,25,108,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00026_edf,26,108,29.2682,Many Ridged Linear Fan
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00027_edf,27,122,29.2682,GenLin
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00028_edf,28,108,29.2682,Many Celled Central Complex Polygon
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00029_edf,29,123,29.2682,GenLin
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00030_edf,30,109,29.2682,Sharp Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00031_edf,31,109,29.2682,Generic Kite
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00032_edf,32,109,29.2682,Generic Single Dimpled Complex Polygon
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00033_edf,33,110,29.2682,Generic Single Dimpled Complex Polygon
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00034_edf,34,124,29.2682,GenLin
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00035_edf,35,124,29.2682,GenLin
ODP-886-110-7H-5W-90-93cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-110-7H-5W-90-93cm-g106_obj00036_edf,36,124,29.2682,z
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00001_edf,1,125,29.93667,z
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00002_edf,2,111,29.93667,Generic Single Dimpled Complex Polygon
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00003_edf,3,125,29.93667,GenLin
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00004_edf,4,125,29.93667,z
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00005_edf,5,112,29.93667,Generic Single Dimpled Complex Polygon
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00006_edf,6,112,29.93667,Generic Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00007_edf,7,126,29.93667,GenLin
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00008_edf,8,112,29.93667,Many Celled
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00009_edf,9,127,29.93667,GenGeo
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00010_edf,10,113,29.93667,Sharp Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00011_edf,11,113,29.93667,Generic Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00012_edf,12,113,29.93667,Generic Single Dimpled Complex Polygon
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00013_edf,13,114,29.93667,Generic Single Dimpled Complex Polygon
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00014_edf,14,114,29.93667,Generic Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00015_edf,15,114,29.93667,Generic Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00016_edf,16,114,29.93667,Thin Ridged Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00017_edf,17,115,29.93667,Generic Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00018_edf,18,115,29.93667,Generic Single Dimpled Complex Polygon
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00019_edf,19,115,29.93667,Generic Kite
ODP-886-115-7H-5W-115-118cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-115-7H-5W-115-118cm-g106_obj00020_edf,20,129,29.93667,GenLin
