unique sample ID or species Name,Which image file (or paper for modern),which object number,KPg. 66.04; Modern=0,type name
SampleID,Image,ObjNum,Age,Type
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00017_edf.jpeg,17,39.42421,Bilateral Polygon
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00019_edf.jpeg,19,39.42421,GenGeo
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00023_edf.jpeg,23,39.42421,Trident
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00028_edf.jpeg,28,39.42421,Five Ridged Linear Fan
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00034_edf.jpeg,34,39.42421,Five Ridged Linear Fan
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00036_edf.jpeg,36,39.42421,Five Ridged Linear Fan
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00037_edf.jpeg,37,39.42421,Sharp Kite
DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00039_edf.jpeg,39,39.42421,GenLin
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00003,3,41.503158,Generic Kite
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00007,7,41.503158,GenLin
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00008,8,41.503158,Five Ridged Linear Fan
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00001,1,41.503158,Generic Single Dimpled Complex Polygon
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00006,6,41.503158,Branching and Flared Chunk
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00002,2,41.503158,Smooth
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00005,5,41.503158,Many Ridged Linear Fan
DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1,DSDP-596-P052-L57-3H-1W-6-8cm-g106_Hwell_N1of1_obj00004,4,41.503158,Ridged Circle
DSDP-596-P051-M61-3H-1W-11-13cm-g106_Hwell_N1of1,DSDP-596-P051-M61-3H-1W-11-13cm-g106_obj00001,1,41.76632,Four Ridged Linear Fan
DSDP-596-P051-M61-3H-1W-11-13cm-g106_Hwell_N1of1,DSDP-596-P051-M61-3H-1W-11-13cm-g106_obj00002,2,41.76632,GenLin
DSDP-596-P051-M61-3H-1W-11-13cm-g106_Hwell_N1of1,DSDP-596-P051-M61-3H-1W-11-13cm-g106_obj00003,3,41.76632,Trident
DSDP-596-P051-M61-3H-1W-11-13cm-g106_Hwell_N1of1,DSDP-596-P051-M61-3H-1W-11-13cm-g106_obj00004,4,41.76632,Sharp Kite
