unique sample ID or species Name,Which image file (or paper for modern),which object number,Which slide in the powerpoint,KPg. 66.04; Modern=0,type name,Taxonomy,Updated 6/13/2020,Genus,Family,Order,Class
Sphyrna tudes,Reif,Pg. 235 H1,530,0,Ridged Circle,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 235 H2,531,0,Trident,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 235 H3,532,0,Trident,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 235 B4,533,0,Trident,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 235 P1,534,0,Minnie Indented Shell,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 237 P3,535,0,Minnie Indented Shell,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 237 H1,536,0,Five Thin Ridged Fan,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 237 H2,537,0,Five Ridged Linear Fan,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 238 C1,538,0,Many Ridged Linear Fan,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 238 C2,539,0,Five Thin Ridged Fan,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 238 C3,540,0,Five Thin Ridged Fan,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 238 M2,541,0,Five Thin Ridged Fan,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 238 M3,542,0,Five Ridged Linear Fan,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna tudes,Reif,Pg. 238 N,543,0,Smooth,Sphyrna tudes,Sphyrna tudes,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,Pg. 240 B1,544,0,Trident,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,B3,545,0,Five Ridged Linear Fan,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,P1,546,0,Ridged Circle,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,P3,547,0,Minnie Indented Shell,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,Cla,548,0,Smooth,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,H1,549,0,Trident,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,H2,550,0,Five Ridged Linear Fan,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,H3,551,0,Trident,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,B1,552,0,Five Ridged Linear Fan,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,B3,553,0,Trident,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,P1,554,0,Five Ridged Linear Fan,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,P3,555,0,Trident,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,M1,556,0,Four Thin Ridged Petal,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,M2,557,0,Many Ridged Trident,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,M3,558,0,Smooth Spade,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
Sphyrna zygaena,Reif,N,559,0,Smooth,Sphyrna zygaena,Sphyrna zygaena,Sphyrna,Sphyrnidae,Carcharhiniformes,Elasmobranchii
