age,teeth,dent,sedWT,sedMAR,teethAR,dentAR,IODP_ID
10.212557,4,0,13.4378,54.18059127,16.12781594,0,886C-7H-1W-125-128cm
10.233215,5,0,11.3181,55.63555831,24.57813516,0,886C-7H-1W-130-133cm
10.255215,3,0,11.3453,53.89633471,14.25162879,0,886C-7H-1W-135-138cm
10.277215,6,0,12.3626,55.55088017,26.96077532,0,886C-7H-1W-140-143cm
10.299215,7,0,13.7037,57.20542562,29.22115774,0,886C-7H-1W-145-148cm
10.343215,3,0,16.3254,60.51451653,11.12031249,0,886C-7H-2W-5-8cm
10.365215,4,0,15.7871,62.16906198,15.75186373,0,886C-7H-2W-10-13cm
10.387215,3,0,9.135,63.82360744,20.96013381,0,886C-7H-2W-15-18cm
10.409215,7,1,15.6248,65.47815289,29.33458798,4.190655426,886C-7H-2W-20-23cm
10.431215,12,0,20.0535,67.13269835,40.17215848,0,886C-7H-2W-25-28cm
10.452923,10,0,17.4381,69.71254192,39.97714311,0,886C-7H-2W-30-33cm
10.472923,15,0,19.5184,77.485993,59.54842072,0,886C-7H-2W-35-38cm
10.492923,8,0,18.2401,79.305993,34.78313957,0,886C-7H-2W-40-43cm
10.512923,12,0,19.2727,81.125993,50.51248222,0,886C-7H-2W-45-48cm
10.532923,11,0,17.984,82.945993,50.73431511,0,886C-7H-2W-50-53cm
10.55323,7,0,19.1538,83.27118728,30.43251527,0,886C-7H-2W-55-58cm
10.57533,8,0,24.5262,76.82117647,25.05766942,0,886C-7H-2W-60-63cm
10.59743,10,0,20.4799,77.12705882,37.65988058,0,886C-7H-2W-65-68cm
10.61953,10,0,23.612,77.43294118,32.79389343,0,886C-7H-2W-70-73cm
10.64163,22,1,18.1789,77.73882353,94.07907616,4.276321644,886C-7H-2W-75-78cm
10.66373,14,0,18.8904,78.04470588,57.84027243,0,886C-7H-2W-80-83cm
10.68583,13,0,22.2251,78.35058824,45.82915924,0,886C-7H-2W-85-88cm
10.70793,3,0,19.3581,78.65647059,12.18969898,0,886C-7H-2W-90-93cm
10.73003,17,1,18.036,78.96235294,74.42670215,4.378041303,886C-7H-2W-95-98cm
